country,gender,age_group,year,unemployment_rate
Bulgaria,Female,15-24,2015,22.26
Bulgaria,Female,25+,2015,7.74
Bulgaria,Male,15+,2014,12.31
Bulgaria,Male,15-24,2014,23.8
Bulgaria,Male,25+,2014,11.5
Bulgaria,Female,15+,2014,10.4
Bulgaria,Female,15-24,2014,23.74
Bulgaria,Female,25+,2014,9.68
Bulgaria,Male,15+,2013,13.9
Bulgaria,Male,15-24,2013,30.2
Bulgaria,Male,25+,2013,12.56
Bulgaria,Female,15+,2013,11.84
Bulgaria,Female,15-24,2013,25.66
Bulgaria,Female,25+,2013,10.98
Bahamas,Male,15+,2018,10.1
Bahamas,Female,15+,2018,10.0
Bahamas,Male,15+,2017,8.0
Bahamas,Female,15+,2017,10.9
Bahamas,Male,15+,2016,11.1
Bahamas,Male,15-24,2016,20.83
Bahamas,Male,25+,2016,9.09
Bahamas,Female,15+,2016,14.5
Bahamas,Female,15-24,2016,31.64
Bahamas,Female,25+,2016,11.2
Bahamas,Male,15+,2015,11.0
Bahamas,Female,15+,2015,12.9
Bahamas,Male,15+,2014,13.0
Bahamas,Female,15+,2014,14.6
Bahamas,Male,15+,2013,16.11
Bahamas,Female,15+,2013,16.26
Bosnia and Herzegovina,Male,15+,2022,10.7
Bosnia and Herzegovina,Male,15-24,2022,27.97
Bosnia and Herzegovina,Male,25+,2022,9.16
Bosnia and Herzegovina,Female,15+,2022,15.45
Bosnia and Herzegovina,Female,15-24,2022,38.06
Bosnia and Herzegovina,Female,25+,2022,13.81
Bosnia and Herzegovina,Male,15+,2021,12.66
Bosnia and Herzegovina,Male,15-24,2021,31.69
Bosnia and Herzegovina,Male,25+,2021,10.7
Bosnia and Herzegovina,Female,15+,2021,18.12
Bosnia and Herzegovina,Female,15-24,2021,40.68
Bosnia and Herzegovina,Female,25+,2021,16.11
Bosnia and Herzegovina,Male,15+,2020,14.12
Bosnia and Herzegovina,Male,15-24,2020,32.46
Bosnia and Herzegovina,Male,25+,2020,12.14
Bosnia and Herzegovina,Female,15+,2020,18.54
Bosnia and Herzegovina,Female,15-24,2020,42.75
Bosnia and Herzegovina,Female,25+,2020,15.8
Bosnia and Herzegovina,Male,15+,2019,13.65
Bosnia and Herzegovina,Male,15-24,2019,31.27
Bosnia and Herzegovina,Male,25+,2019,11.46
Bosnia and Herzegovina,Female,15+,2019,18.78
Bosnia and Herzegovina,Female,15-24,2019,37.94
Bosnia and Herzegovina,Female,25+,2019,16.61
Bosnia and Herzegovina,Male,15+,2018,17.21
Bosnia and Herzegovina,Male,15-24,2018,35.45
Bosnia and Herzegovina,Male,25+,2018,14.78
Bosnia and Herzegovina,Female,15+,2018,20.33
Bosnia and Herzegovina,Female,15-24,2018,45.46
Bosnia and Herzegovina,Female,25+,2018,17.66
Bosnia and Herzegovina,Male,15+,2017,18.87
Bosnia and Herzegovina,Male,15-24,2017,43.11
Bosnia and Herzegovina,Male,25+,2017,15.62
Bosnia and Herzegovina,Female,15+,2017,23.13
Bosnia and Herzegovina,Female,15-24,2017,51.36
Bosnia and Herzegovina,Female,25+,2017,20.34
Bosnia and Herzegovina,Male,15+,2016,22.53
Bosnia and Herzegovina,Male,15-24,2016,52.05
Bosnia and Herzegovina,Male,25+,2016,18.76
Bosnia and Herzegovina,Female,15+,2016,30.05
Bosnia and Herzegovina,Female,15-24,2016,58.91
Bosnia and Herzegovina,Female,25+,2016,27.2
Bosnia and Herzegovina,Male,15+,2015,25.78
Bosnia and Herzegovina,Male,15-24,2015,59.53
Bosnia and Herzegovina,Male,25+,2015,21.28
